replicate,block,factor_N,factor_P,factor_K,treatment_combination,response
R1,B1,N1,P1,K0,np,101
R1,B1,N1,P1,K1,npk,111
R1,B1,N0,P0,K0,(1),75
R1,B1,N0,P0,K1,k,55
R1,B2,N0,P1,K0,p,88
R1,B2,N1,P0,K0,n,90
R1,B2,N0,P1,K1,pk,115
R1,B2,N1,P0,K1,nk,75
R2,B3,N0,P0,K0,(1),125
R2,B3,N1,P1,K1,npk,95
R2,B3,N1,P0,K1,nk,80
R2,B3,N0,P1,K0,p,100
R2,B4,N1,P1,K0,np,115
R2,B4,N0,P0,K1,k,95
R2,B4,N0,P1,K1,pk,90
R2,B4,N1,P0,K0,n,80
R3,B5,N0,P1,K1,pk,75
R3,B5,N1,P0,K1,nk,100
R3,B5,N0,P0,K0,(1),55
R3,B5,N1,P1,K0,np,92
R3,B6,N1,P0,K0,n,53
R3,B6,N1,P1,K1,npk,76
R3,B6,N0,P1,K0,p,65
R3,B6,N0,P0,K1,k,82
