replicate,block,factor_N,factor_K,factor_P,treatment_combination,response
R1,B1,N0,K0,P0,(1),99
R1,B1,N1,K1,P0,nk,201
R1,B1,N1,K0,P1,np,312
R1,B1,N0,K1,P1,kp,376
R1,B2,N1,K1,P1,nkp,408
R1,B2,N1,K0,P0,n,98
R1,B2,N0,K1,P0,k,260
R1,B2,N0,K0,P1,p,306
R2,B3,N0,K0,P0,(1),100
R2,B3,N1,K1,P0,nk,308
R2,B3,N1,K0,P1,np,352
R2,B3,N0,K1,P1,kp,412
R2,B4,N1,K1,P1,nkp,452
R2,B4,N1,K0,P0,n,87
R2,B4,N0,K1,P0,k,257
R2,B4,N0,K0,P1,p,378
R3,B5,N0,K0,P0,(1),84
R3,B5,N1,K1,P0,nk,378
R3,B5,N1,K0,P1,np,324
R3,B5,N0,K1,P1,kp,435
R3,B6,N1,K1,P1,nkp,456
R3,B6,N1,K0,P0,n,135
R3,B6,N0,K1,P0,k,272
R3,B6,N0,K0,P1,p,378
R4,B7,N0,K0,P0,(1),152
R4,B7,N1,K1,P0,nk,296
R4,B7,N1,K0,P1,np,372
R4,B7,N0,K1,P1,kp,278
R4,B8,N1,K1,P1,nkp,478
R4,B8,N1,K0,P0,n,178
R4,B8,N0,K1,P0,k,319
R4,B8,N0,K0,P1,p,372
